ticker,exchange,assetType,priceCurrency,startDate,endDate
TEQRX,NMFQS,Mutual Fund,USD,2007-01-03,2018-01-05
TEQSX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEQWX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TER,NASDAQ,Stock,USD,1987-03-11,2020-06-29
TERA,OTCMKTS,Stock,USD,2005-08-24,2020-06-26
TERAX,NMFQS,Mutual Fund,USD,2014-11-28,2016-06-06
TERCX,NMFQS,Mutual Fund,USD,2014-11-28,2017-01-23
TERIX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-29
TERM,NYSE ARCA,ETF,USD,2017-04-11,2020-06-29
TERN,NASDAQ,Stock,USD,,
TERNF,PINK,Stock,USD,2019-05-15,2020-03-09
TERP,NASDAQ,Stock,USD,2014-07-18,2020-06-29
TERRF,PINK,Stock,USD,2017-10-19,2020-06-29
TERXX,NMFQS,Mutual Fund,USD,,
TESGX,NMFQS,Mutual Fund,USD,1996-01-02,2020-06-29
TESHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TESI,NASDAQ,Stock,USD,,
TESIX,NMFQS,Mutual Fund,USD,1996-12-18,2020-06-29
TESO,NASDAQ,Stock,USD,1996-12-02,2017-12-15
TESRX,NMFQS,Mutual Fund,USD,2002-01-02,2020-06-29
TESS,NASDAQ,Stock,USD,1994-09-29,2020-06-29
TESTF,PINK,Stock,USD,2004-02-06,2020-01-24
TESTJ,PINK,Stock,USD,2002-10-31,2020-06-24
TESTM,PINK,Stock,USD,2001-01-02,2018-02-27
TESTX,PINK,Mutual Fund,USD,,
TETAA,PINK,Stock,USD,2009-09-16,2020-06-29
TETAB,PINK,Stock,USD,2017-06-06,2020-06-18
TETAX,NMFQS,Mutual Fund,USD,2005-01-03,2020-06-29
TETF,NYSE ARCA,ETF,USD,2017-04-20,2019-06-18
TETHF,PINK,Stock,USD,2007-10-31,2020-06-29
TETIX,NMFQS,Mutual Fund,USD,2005-01-03,2020-06-29
TETOF,PINK,Stock,USD,2020-04-14,2020-06-23
TETXF,OTCGREY,Stock,USD,,
